application,target,invariant,expected_path,archive,notes
mof,O2 and N2,PH,data/mof/features/PH,MINTNN_MOF_final_features.zip,persistent homology features
mof,O2 and N2,PL,data/mof/features/PL,MINTNN_MOF_final_features.zip,persistent Laplacian features
mof,O2 and N2,CA,data/mof/features/CA,MINTNN_MOF_final_features.zip,cell-complex/facet features
mof,O2 and N2,FPRC,data/mof/features/FPRC,MINTNN_MOF_final_features.zip,Forman-Persistent Ricci curvature features
ld50,LD50,PH,data/ld50/topology_features/PH,MINTNN_LD50_final_features.zip,persistent homology features
ld50,LD50,PL,data/ld50/topology_features/PL,MINTNN_LD50_final_features.zip,persistent Laplacian features
ld50,LD50,CA,data/ld50/topology_features/CA,MINTNN_LD50_final_features.zip,cell-complex/facet features
ld50,LD50,EIC,data/ld50/topology_features/EIC,MINTNN_LD50_final_features.zip,element interactive curvature features
ld50,LD50,EIC_BI,data/ld50/topology_features/EIC_BI,MINTNN_LD50_final_features.zip,birth-indexed element interactive curvature features
ld50,LD50,FPRC,data/ld50/topology_features/FPRC,MINTNN_LD50_final_features.zip,Forman-Persistent Ricci curvature features
