model_id,nn_family,topology,feature_tag,feature_transform,lr,h_dim_or_channels,layers,batch_size,epochs,scaler,loss,seeds,architecture,pooling,extra_settings,test_pcc,test_R2_paper,test_sklearn_R2,test_RMSE,test_RMSE_x1.36,test_MAE
ann_homology,ANN,homology,maxfil10_step01_bond0_homdim01,none,0.0001,,,32,100,MinMaxScaler,MSE,"42,1,2,3,4,5,6,7,8,9","MLP hidden=[2048,2048,1024,1024,512,64]",,10-seed prediction average,0.7695302193290324,0.5921767584605887,0.5843642301357057,0.6217343074549949,0.8455586581387932,0.4518832203186797
ann_facet,ANN,facet,maxfil10_step01_bond0_facetdim1,none,0.0002,,,32,100,MinMaxScaler,MSE,"42,1,2,3,4,5,6,7,8,9","MLP hidden=[2048,2048,1024,1024,512,64]",,10-seed prediction average,0.785937685653248,0.6176980457299835,0.6172684044888992,0.5966168741463325,0.8113989488390122,0.4377310670982649
ann_lap,ANN,lap,maxfil10_step01_bond0,none,0.0002,,,32,100,MinMaxScaler,MSE,"42,1,2,3,4,5,6,7,8,9","MLP hidden=[2048,2048,1024,1024,512,64]",,10-seed prediction average,0.7925818469611875,0.6281859841324072,0.6257975824533262,0.5899316120961395,0.8023069924507499,0.4285209468501782
ann_forman,ANN,forman,maxfil10_step01_bond0,none,0.0001,,,32,100,MinMaxScaler,MSE,"42,1,2,3,4,5,6,7,8,9","MLP hidden=[2048,2048,1024,1024,512,64]",,10-seed prediction average,0.7783990479363005,0.6059050778281391,0.602138581928422,0.6082950572066752,0.8272812778010783,0.4278182161723071
ann_curvature,ANN,curvature,maxfil10_step01_bond0_curvbi,none,0.0001,,,32,100,MinMaxScaler,MSE,"42,1,2,3,4,5,6,7,8,9","MLP hidden=[2048,2048,1024,1024,512,64]",,10-seed prediction average,0.7467601427034473,0.5576507107304729,0.5486702038684367,0.6478811992520267,0.8811184309827563,0.4741730590259176
cnn_homology,CNN,homology,maxfil10_step01_bond0_homdim01,none,0.0007,128.0,5.0,32,100,StandardScaler,MSE,"42,1,2,3,4,5,6,7,8,9","1D CNN h_channels=128, num_layers=5, kernel_size=3, pool=1",,10-seed prediction average,0.777631881170597,0.6047113426129215,0.5992252889869754,0.6105180793005429,0.8303045878487384,0.4485275845939492
cnn_facet,CNN,facet,maxfil10_step01_bond0_facetdim1,none,0.0006,128.0,5.0,32,100,StandardScaler,MSE,"42,1,2,3,4,5,6,7,8,9","1D CNN h_channels=128, num_layers=5, kernel_size=3, pool=1",,10-seed prediction average,0.8002349496303549,0.6403759746098967,0.6330963866727566,0.5841499835898957,0.7944439776822582,0.4289360084594824
cnn_lap,CNN,lap,maxfil10_step01_bond0,none,0.0001,128.0,5.0,32,100,StandardScaler,MSE,"42,1,2,3,4,5,6,7,8,9","1D CNN h_channels=128, num_layers=5, kernel_size=3, pool=1",,10-seed prediction average,0.8022989424770075,0.6436835930997246,0.6401602824984732,0.5784994135296029,0.78675920240026,0.4184774365904521
cnn_forman,CNN,forman,maxfil10_step01_bond0,none,0.0003,128.0,5.0,32,100,StandardScaler,MSE,"42,1,2,3,4,5,6,7,8,9","1D CNN h_channels=128, num_layers=5, kernel_size=3, pool=1",,10-seed prediction average,0.7640393210469013,0.5837560841058099,0.573037500483607,0.6301489842700899,0.8570026186073223,0.4421799126585163
cnn_curvature,CNN,curvature,maxfil10_step01_bond0,signedlog,0.0001,128.0,5.0,32,100,StandardScaler,MSE,"42,1,2,3,4,5,6,7,8,9","1D CNN h_channels=128, num_layers=5, kernel_size=3, pool=1",,10-seed prediction average,0.7448574810827925,0.5548126671250025,0.5503961783595757,0.6466411996312598,0.8794320314985133,0.4647801950795126
cop_homology,Copresheaf,homology,maxfil10_step01_bond0_homdim01,none,0.0002,128.0,3.0,32,100,MinMaxScaler,MSE,"42,1,2,3,4,5,6,7,8,9","CoPresheaf transformer, encoder_layers=3, heads=4, low_rank=8, pooling=cls_mean_max",cls_mean_max,"pre_norm, dropout=0.05, weight_decay=0.01, 10-seed prediction average",0.76670946283615,0.5878434004024977,0.5750461155963873,0.628664991042178,0.8549843878173621,0.4591882018505642
