rank,combo,n_models,group,has_homology,has_facet,has_lap,has_forman,has_curvature,n_ann,n_cnn,n_cop,n_snn,pcc,r2_paper,sklearn_r2,rmse,rmse_x1.36,mae
1,ann_homology+ann_facet+ann_curvature+cnn_facet+cnn_lap+cop_lap+cop_forman+snn_curvature,8,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,3,2,2,1,0.8248522484790877,0.6803812318210066,0.6796065239745055,0.5458712312851376,0.7423848745477872,0.401213773458633
2,ann_homology+ann_facet+ann_curvature+cnn_facet+cnn_lap+cop_lap+cop_forman,7,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,3,2,2,0,0.8247938629973026,0.6802849164380133,0.6797995087851233,0.5457068073312685,0.7421612579705252,0.4004712297848844
3,ann_homology+ann_facet+ann_forman+ann_curvature+cnn_facet+cnn_lap+cop_lap+cop_forman+snn_curvature,9,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,4,2,2,1,0.8247461721576728,0.6802062484887336,0.6793301343654345,0.546106630292293,0.7427050171975186,0.3990592426634528
4,ann_homology+ann_facet+cnn_facet+cnn_lap+cop_lap+cop_forman+snn_curvature,7,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,2,2,2,1,0.8247016762548423,0.6801328548175466,0.6795660632891822,0.5459056976967899,0.7424317488676343,0.3998391174077298
5,ann_homology+ann_facet+ann_lap+ann_curvature+cnn_facet+cnn_lap+cop_lap+cop_forman+snn_curvature,9,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,4,2,2,1,0.8246598671209476,0.680063896439939,0.6793550301051992,0.5460854309313604,0.7426761860666502,0.4014759274441757
6,ann_homology+ann_facet+ann_curvature+cnn_facet+cnn_lap+cop_forman,6,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,3,2,1,0,0.8246547035277989,0.6800553800505219,0.6796200611104418,0.5458596991977651,0.7423691909089606,0.4015072594609177
7,ann_homology+ann_facet+ann_forman+ann_curvature+cnn_facet+cnn_lap+cop_facet+cop_lap+cop_forman+snn_curvature,10,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,4,2,3,1,0.8246511848888862,0.680049576738644,0.6789699640433002,0.5464132325381003,0.7431219962518164,0.3995084975042485
8,ann_homology+cnn_facet+cnn_lap+cop_forman+cop_curvature,5,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,1,2,2,0,0.8246316749638873,0.6800173993537464,0.6796663421805414,0.5458202711931454,0.7423155688226777,0.3983954618334288
9,ann_homology+ann_facet+ann_forman+ann_curvature+cnn_homology+cnn_facet+cnn_lap+cop_facet+cop_lap+cop_forman+snn_curvature,11,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,4,3,3,1,0.8246144633289821,0.6799890131313452,0.6790200375144471,0.546370616783856,0.7430640388260442,0.3995529034915488
10,ann_homology+ann_curvature+cnn_facet+cnn_lap+cop_forman,5,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,2,2,1,0,0.8246040923075993,0.6799719090504398,0.6797790500144445,0.5457242406463416,0.7421849672790246,0.4003779910675749
11,ann_homology+ann_facet+cnn_facet+cnn_lap+cop_lap+cop_forman+cop_curvature+snn_curvature,8,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,2,2,3,1,0.8245809968625158,0.6799338203867804,0.6790540271641916,0.5463416875051987,0.7430246950070704,0.3998803771821111
12,ann_homology+ann_lap+ann_curvature+cnn_facet+cnn_lap+cop_facet+cop_lap+cop_forman+snn_curvature,9,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,3,2,3,1,0.824570751063722,0.6799169235097906,0.6791367631735388,0.5462712628102234,0.7429289174219039,0.4007851700828178
13,ann_homology+ann_facet+ann_curvature+cnn_homology+cnn_facet+cnn_lap+cop_lap+cop_forman+snn_curvature,9,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,3,3,2,1,0.8245491138206494,0.6798812411024183,0.6791843647275521,0.54623074036555,0.742873806897148,0.4012279144406301
14,ann_homology+ann_facet+ann_lap+ann_forman+ann_curvature+cnn_homology+cnn_facet+cnn_lap+cop_facet+cop_lap+cop_forman+snn_curvature,12,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,5,3,3,1,0.8245477700235351,0.6798790250507845,0.6789699367574995,0.5464132557591709,0.7431220278324725,0.3999300816240903
15,ann_homology+ann_facet+ann_lap+ann_forman+ann_curvature+cnn_facet+cnn_lap+cop_facet+cop_lap+cop_forman+snn_curvature,11,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,5,2,3,1,0.8245460219467986,0.6798761423082905,0.6788770154577095,0.5464923289710499,0.743229567400628,0.3998539154726426
16,ann_homology+ann_curvature+cnn_facet+cnn_lap+cop_lap+cop_forman,6,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,2,2,2,0,0.8245450561619235,0.6798745496410696,0.6795868109679356,0.5458880240703505,0.7424077127356767,0.3996972193119497
17,ann_homology+ann_facet+ann_forman+ann_curvature+cnn_homology+cnn_facet+cnn_lap+cop_lap+cop_forman+snn_curvature,10,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,4,3,2,1,0.8245439366629626,0.6798727034876556,0.6790829167424792,0.5463170977961977,0.742991253002829,0.399339012526951
18,ann_homology+ann_facet+ann_forman+ann_curvature+cnn_facet+cnn_lap+cop_lap+cop_forman,8,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,4,2,2,0,0.8245326769671683,0.6798541353866446,0.6792402373077491,0.546183173092633,0.7428091154059809,0.3983345041390855
19,ann_homology+ann_facet+ann_curvature+cnn_facet+cnn_lap+cop_facet+cop_lap+cop_forman+snn_curvature,9,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,3,2,3,1,0.8245276410989849,0.6798458309362565,0.6788862211763134,0.5464844956939292,0.7432189141437437,0.4015556983342501
20,ann_homology+ann_facet+cnn_facet+cnn_lap+cop_lap+cop_forman+cop_curvature,7,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,2,2,3,0,0.8245224883200911,0.6798373337455548,0.6790842917540434,0.5463159274111186,0.7429896612791212,0.3993509386071631
21,ann_homology+ann_facet+ann_lap+ann_curvature+cnn_facet+cnn_lap+cop_facet+cop_lap+cop_forman+snn_curvature,10,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,4,2,3,1,0.824517664414105,0.6798293789308907,0.6789325894667999,0.5464450385476978,0.743165252424869,0.4015609733496921
22,ann_homology+ann_facet+cnn_facet+cnn_lap+cop_forman+cop_curvature,6,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,2,2,2,0,0.8245151967533602,0.6798253096772322,0.6793675151546978,0.546074799281647,0.74266172702304,0.3999645331932304
23,ann_homology+ann_facet+ann_lap+ann_forman+ann_curvature+cnn_facet+cnn_lap+cop_lap+cop_forman+snn_curvature,10,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,5,2,2,1,0.824513085254875,0.6798218277565128,0.679023282224072,0.5463678552119722,0.7430602830882822,0.399674891228618
24,ann_homology+ann_lap+ann_curvature+cnn_facet+cnn_lap+cop_facet+cop_forman+snn_curvature,8,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,3,2,2,1,0.8245130166724515,0.6798217146623062,0.6791584246364633,0.5462528231246088,0.742903839449468,0.4015570966619872
25,ann_homology+ann_facet+ann_lap+ann_curvature+cnn_facet+cnn_lap+cop_forman+snn_curvature,8,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,4,2,1,1,0.8245078636068425,0.6798132171495196,0.6791028646292283,0.5463001182685877,0.7429681608452794,0.4023326457471822
26,ann_homology+ann_facet+ann_lap+ann_curvature+cnn_homology+cnn_facet+cnn_lap+cop_facet+cop_lap+cop_forman+snn_curvature,11,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,4,3,3,1,0.8245000819812365,0.6798003851870656,0.6789865800602704,0.5463990916042122,0.7431027645817286,0.4015480365179577
27,ann_homology+ann_facet+ann_forman+cnn_facet+cnn_lap+cop_lap+cop_forman+cop_curvature+snn_curvature,9,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,3,2,3,1,0.8244968540235714,0.6797950622947665,0.6787950068280217,0.5465621063277029,0.7433244646056759,0.398065154956259
28,ann_homology+ann_facet+ann_forman+ann_curvature+cnn_facet+cnn_lap+cop_forman+snn_curvature,8,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,4,2,1,1,0.8244917369389656,0.6797866242806324,0.6789285096402443,0.5464485103947679,0.7431699741368845,0.3995958274705449
29,ann_homology+ann_lap+ann_curvature+cnn_facet+cnn_lap+cop_forman,6,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,3,2,1,0,0.8244837380089555,0.6797734342412199,0.6795770210106276,0.5458963635829114,0.7424190544727596,0.4008984402445485
30,ann_homology+ann_facet+cnn_facet+cnn_lap+cop_forman+snn_curvature,6,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,2,2,1,1,0.8244824662700364,0.6797713371867217,0.6793012225863546,0.5461312483809766,0.7427384977981282,0.4009030714369657
31,ann_homology+ann_lap+ann_curvature+cnn_facet+cnn_lap+cop_facet+cop_forman,7,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,3,2,2,0,0.8244798832585617,0.6797670778980516,0.6793557688459633,0.5460848018620803,0.7426753305324293,0.4008306531931868
32,ann_homology+ann_facet+ann_curvature+cnn_homology+cnn_facet+cnn_lap+cop_facet+cop_lap+cop_forman+snn_curvature,10,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,3,3,3,1,0.8244791922280146,0.6797659384169594,0.6789077726811509,0.546466156772263,0.7431939732102777,0.4014450509932681
33,ann_homology+ann_facet+ann_lap+ann_curvature+cnn_homology+cnn_facet+cnn_lap+cop_lap+cop_forman+snn_curvature,10,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,4,3,2,1,0.8244699408575016,0.6797506833775722,0.6790999733486351,0.5463025793428669,0.742971507906299,0.4014949080279643
34,ann_homology+ann_facet+ann_curvature+cnn_facet+cnn_lap+cop_forman+snn_curvature,7,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,3,2,1,1,0.8244692083911852,0.6797494755851876,0.6789610645268076,0.5464208062529075,0.7431322965039542,0.4022481457378585
35,ann_homology+ann_lap+ann_curvature+cnn_homology+cnn_facet+cnn_lap+cop_facet+cop_lap+cop_forman+snn_curvature,10,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,3,3,3,1,0.8244521571642585,0.6797213594527991,0.6790343264575374,0.5463584553618829,0.7430474992921607,0.4006945433010135
36,ann_homology+ann_lap+cnn_facet+cnn_lap+cop_forman+cop_curvature,6,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,2,2,2,0,0.8244494239644327,0.6797168526752848,0.6793693199751221,0.5460732623688506,0.7426596368216368,0.3992730589852481
37,ann_homology+ann_facet+ann_lap+ann_forman+ann_curvature+cnn_facet+cnn_lap+cop_facet+cop_forman+snn_curvature,10,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,5,2,2,1,0.8244422639020363,0.679705046507915,0.6787838472782377,0.5465716007848077,0.7433373770673385,0.4002182442899014
38,ann_homology+ann_curvature+cnn_facet+cnn_lap+cop_facet+cop_lap+cop_forman+snn_curvature,8,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,2,2,3,1,0.8244369694564727,0.6796963166065729,0.6788810243220872,0.5464889177850349,0.7432249281876476,0.4007389669285209
39,ann_homology+ann_facet+ann_forman+ann_curvature+cnn_facet+cnn_lap+cop_forman,7,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,4,2,1,0,0.8244347864134961,0.679692717048667,0.6791618449623515,0.5462499114576127,0.7428998795823534,0.3988821545914922
40,ann_homology+ann_lap+ann_forman+ann_curvature+cnn_facet+cnn_lap+cop_facet+cop_lap+cop_forman+snn_curvature,10,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,4,2,3,1,0.8244257389960631,0.6796777991192048,0.6787938737255831,0.5465630703698605,0.7433257757030104,0.3989796805687439
41,ann_homology+ann_facet+ann_lap+ann_forman+ann_curvature+cnn_homology+cnn_facet+cnn_lap+cop_facet+cop_forman+snn_curvature,11,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,5,3,2,1,0.8244254013529452,0.6796772423959647,0.678826129745371,0.5465356263231876,0.7432884517995353,0.4003071259149172
42,ann_facet+ann_curvature+cnn_homology+cnn_facet+cnn_lap+cop_lap+cop_forman,7,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,2,3,2,0,0.8244225250241445,0.6796724997671861,0.6792281304662247,0.5461934806366171,0.7428231336657993,0.4005517837328788
43,ann_homology+ann_facet+ann_lap+cnn_facet+cnn_lap+cop_lap+cop_forman+cop_curvature+snn_curvature,9,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,3,2,3,1,0.8244220733761997,0.679671755069912,0.6788609657274399,0.5465059856466927,0.7432481404795022,0.4003165115032405
44,ann_facet+ann_curvature+cnn_homology+cnn_facet+cnn_lap+cop_forman,6,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,2,3,1,0,0.8244167779060273,0.679663023692956,0.6792641134841477,0.5461628447815584,0.7427814689029195,0.4011721977016382
45,ann_facet+ann_curvature+cnn_homology+cnn_facet+cnn_lap+cop_lap+cop_forman+snn_curvature,8,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,2,3,2,1,0.824412673981006,0.6796562570205126,0.6789425588402405,0.5464365547265985,0.743153714428174,0.4012642820123156
46,ann_homology+ann_facet+ann_lap+ann_forman+ann_curvature+cnn_facet+cnn_lap+cop_forman+snn_curvature,9,ann_cnn_copresheaf_snn_20model,1,1,1,1,1,5,2,1,1,0.8244067725622252,0.6796465266464644,0.6788711509393445,0.5464973191147355,0.7432363539960404,0.4000648098730902
