data_seed,n_mofs,R2,MAE,RMSE
23,513.0,0.8119944204192586,0.0448063273876034,0.0689843045564948
24,513.0,0.8768198994206048,0.038094169562507,0.0566172985669901
25,513.0,0.8323337232516833,0.0444524886947103,0.0675478825726508
26,513.0,0.8570324159829945,0.0417838554897135,0.0628497489756464
27,513.0,0.8399366862276023,0.0427095456904525,0.0653533771135655
28,513.0,0.869698532697183,0.0415875278752178,0.0596626339073549
29,513.0,0.8303498004238656,0.0463725198096583,0.065824367050222
30,513.0,0.8285312085750527,0.0429238466409176,0.0649612991367678
31,513.0,0.8629301129576791,0.038571681730483,0.0586805550401681
32,513.0,0.8382804629720676,0.0420962192512724,0.0641591094489869
mean,,0.8447907262927992,0.0423398182132536,0.0634640576368848
std,,0.0208027646659471,0.00259157340932,0.0039945014187319
