rank,scope,combo,n_models,r2,mae,rmse,n_ann,n_cnn,n_snn,n_cop,n_homology,n_facet,n_forman,n_lap
1,all_16_models,ann_homology+ann_facet+cnn_facet+snn_forman+cop_homology+cop_facet,6,0.8556169415264252,0.0426009396276278,0.0648593764415005,2,1,1,2,2,3,1,0
2,all_16_models,ann_homology+ann_facet+ann_forman+cnn_facet+cop_homology+cop_facet,6,0.8553768188133853,0.0428266885016861,0.0649132876816214,3,1,0,2,2,3,1,0
3,all_16_models,ann_homology+ann_facet+ann_forman+cnn_facet+snn_forman+cop_homology+cop_facet,7,0.8552766559340581,0.0427410099401227,0.0649357625586365,3,1,1,2,2,3,2,0
4,all_16_models,ann_homology+ann_facet+ann_forman+cop_homology+cop_facet,5,0.8551124190294037,0.0432385080884306,0.0649725977517474,3,0,0,2,2,2,1,0
5,all_16_models,ann_homology+ann_facet+snn_forman+cop_homology+cop_facet,5,0.8551101229759199,0.0432022147563233,0.0649731125645678,2,0,1,2,2,2,1,0
6,all_16_models,ann_homology+ann_facet+ann_forman+cnn_facet+snn_homology+snn_forman+cop_homology+cop_facet,8,0.8548619827161293,0.0428238409565903,0.0650287256563529,3,1,2,2,3,3,2,0
7,all_16_models,ann_homology+ann_facet+ann_forman+cnn_facet+snn_facet+snn_forman+cop_homology+cop_facet,8,0.8547804187217507,0.0428258992557288,0.0650469953617778,3,1,2,2,2,4,2,0
8,all_16_models,ann_homology+ann_facet+cnn_facet+snn_homology+snn_forman+cop_facet,6,0.8547645536164656,0.04275521082662,0.0650505484268559,2,1,2,1,2,3,1,0
9,all_16_models,ann_homology+ann_facet+ann_forman+cnn_facet+snn_homology+cop_homology+cop_facet,7,0.8547115411122497,0.0429701276312329,0.0650624194195501,3,1,1,2,3,3,1,0
10,all_16_models,ann_homology+ann_facet+cnn_facet+snn_forman+cop_facet,5,0.8546481459772755,0.0426487779030558,0.0650766125325279,2,1,1,1,1,3,1,0
11,all_16_models,ann_homology+ann_facet+ann_forman+snn_forman+cop_homology+cop_facet,6,0.8545999108654483,0.0431733358629614,0.0650874094959694,3,0,1,2,2,2,2,0
12,all_16_models,ann_homology+ann_facet+ann_forman+cnn_facet+snn_homology+cop_facet,6,0.8545625944055089,0.0429639875467641,0.0650957611961146,3,1,1,1,2,3,1,0
13,all_16_models,ann_homology+ann_facet+ann_forman+cnn_facet+snn_homology+snn_forman+cop_facet,7,0.8545450781834382,0.042833737099496,0.0650996810868556,3,1,2,1,2,3,2,0
14,all_16_models,ann_homology+ann_facet+ann_forman+cnn_facet+snn_facet+cop_homology+cop_facet,7,0.854494780910863,0.0429767030155101,0.0651109356162717,3,1,1,2,2,4,1,0
