model,topology,property,feature_root,target_transform,target_scaler,x_scaler,csca_global_x_scaler,optimizer,scheduler,loss,lr,epochs,batch_size,weight_decay,dropout,hidden_dims,h_channels,cnn_num_layers,kernel_size,pool_size,fc_hidden,encoder_h_dim,encoder_heads,encoder_num_layers,decoder_h_dim,decoder_heads,decoder_num_layers,low_rank,patch_size,h_dim,snn_layers,snn_mlp_hidden,graph_structure,dedup_R2,dedup_MAE,dedup_RMSE
ann,facet,O2uptakemolkg,TopologicalEmbeddings_facet_nostats_fil120,log10,minmax,minmax,True,AdamW,"OneCycleLR(max_lr=lr, epochs=epochs, steps_per_epoch=len(train_loader))",MSELoss on scaled/log target,0.0007,100,32,0.0001,0.0,"2048,1024,1024,512,512,64",,,,,,,,,,,,,,,,,,0.8871387171221193,0.04036017357169902,0.05923889475668906
ann,forman,O2uptakemolkg,TopologicalEmbeddings_forman_fil120,log10,minmax,minmax,True,AdamW,"OneCycleLR(max_lr=lr, epochs=epochs, steps_per_epoch=len(train_loader))",MSELoss on scaled/log target,0.0008,100,32,0.0001,0.0,"2048,1024,1024,512,512,64",,,,,,,,,,,,,,,,,,0.8790742149396357,0.03975728084775885,0.06131883762015304
ann,homology,O2uptakemolkg,TopologicalEmbeddings_homology_fil120,log10,minmax,minmax,True,AdamW,"OneCycleLR(max_lr=lr, epochs=epochs, steps_per_epoch=len(train_loader))",MSELoss on scaled/log target,0.0008,100,32,0.0001,0.0,"2048,1024,1024,512,512,64",,,,,,,,,,,,,,,,,,0.8799780289351103,0.04101706710520126,0.06108925561702303
ann,lap,O2uptakemolkg,TopologicalEmbeddings_lap_fil120_plus_homology_dim12_callZeroLap,log10,minmax,minmax,True,AdamW,"OneCycleLR(max_lr=lr, epochs=epochs, steps_per_epoch=len(train_loader))",MSELoss on scaled/log target,0.0009,100,32,0.0001,0.0,"2048,1024,1024,512,512,64",,,,,,,,,,,,,,,,,,0.8668213902826867,0.04288142420238188,0.06435046571292728
cnn,facet,O2uptakemolkg,TopologicalEmbeddings_facet_nostats_fil120,log10,minmax,minmax,True,AdamW,"OneCycleLR(max_lr=lr, epochs=epochs, steps_per_epoch=len(train_loader))",MSELoss on scaled/log target,0.001,100,32,0.0001,0.0,,128.0,3.0,3.0,1.0,256.0,,,,,,,,,,,,,0.8911919896719231,0.03920270357734237,0.05816542293130704
cnn,forman,O2uptakemolkg,TopologicalEmbeddings_forman_fil120,log10,minmax,minmax,True,AdamW,"OneCycleLR(max_lr=lr, epochs=epochs, steps_per_epoch=len(train_loader))",MSELoss on scaled/log target,0.0009,100,32,0.0001,0.0,,128.0,3.0,3.0,1.0,256.0,,,,,,,,,,,,,0.8438889030798172,0.04553657389129069,0.06967088761351155
cnn,homology,O2uptakemolkg,TopologicalEmbeddings_homology_fil120,log10,minmax,minmax,True,AdamW,"OneCycleLR(max_lr=lr, epochs=epochs, steps_per_epoch=len(train_loader))",MSELoss on scaled/log target,0.0008,100,32,0.0001,0.0,,128.0,3.0,3.0,1.0,256.0,,,,,,,,,,,,,0.8643374888272779,0.04330252212235003,0.06494779059436095
cnn,lap,O2uptakemolkg,TopologicalEmbeddings_lap_fil120_plus_homology_dim12_callZeroLap,log10,minmax,minmax,True,AdamW,"OneCycleLR(max_lr=lr, epochs=epochs, steps_per_epoch=len(train_loader))",MSELoss on scaled/log target,0.0007,100,32,0.0001,0.0,,128.0,3.0,3.0,1.0,256.0,,,,,,,,,,,,,0.8706254137579216,0.04218221400570507,0.06342477610431867
copresheaf,facet,O2uptakemolkg,TopologicalEmbeddings_facet_nostats_fil120,log10,minmax,minmax,True,AdamW,"OneCycleLR(max_lr=lr, epochs=epochs, steps_per_epoch=len(train_loader))",MSELoss on scaled/log target,0.0004,100,32,0.05,,,,,,,,256.0,4.0,3.0,512.0,8.0,3.0,8.0,1.0,,,,CSCA-style CoPresheaf transformer over category tokens,0.8827672253061528,0.039761998570265654,0.060375254981161294
copresheaf,forman,O2uptakemolkg,TopologicalEmbeddings_forman_fil120,log10,minmax,minmax,True,AdamW,"OneCycleLR(max_lr=lr, epochs=epochs, steps_per_epoch=len(train_loader))",MSELoss on scaled/log target,0.0006,100,32,0.05,,,,,,,,128.0,4.0,3.0,512.0,8.0,3.0,8.0,1.0,,,,CSCA-style CoPresheaf transformer over category tokens,0.8839051833384035,0.03858847462858991,0.06008151440254937
copresheaf,homology,O2uptakemolkg,TopologicalEmbeddings_homology_fil120,log10,minmax,minmax,True,AdamW,"OneCycleLR(max_lr=lr, epochs=epochs, steps_per_epoch=len(train_loader))",MSELoss on scaled/log target,0.0008,100,32,0.05,,,,,,,,64.0,4.0,3.0,512.0,8.0,3.0,8.0,1.0,,,,CSCA-style CoPresheaf transformer over category tokens,0.8896426502610301,0.038817414532312876,0.05857807381800033
copresheaf,lap,O2uptakemolkg,TopologicalEmbeddings_lap_fil120_plus_homology_dim12_callZeroLap,log10,minmax,minmax,True,AdamW,"OneCycleLR(max_lr=lr, epochs=epochs, steps_per_epoch=len(train_loader))",MSELoss on scaled/log target,0.0005,100,32,0.05,,,,,,,,64.0,4.0,3.0,512.0,8.0,3.0,8.0,1.0,,,,CSCA-style CoPresheaf transformer over category tokens,0.8752025170814197,0.04208761810576508,0.062292730641025945
snn,facet,O2uptakemolkg,TopologicalEmbeddings_facet_nostats_fil120,log10,minmax,minmax,True,AdamW,"OneCycleLR(max_lr=lr, epochs=epochs, steps_per_epoch=len(train_loader))",MSELoss on scaled/log target,0.0003,100,32,0.0001,0.1,,,,,,,,,,,,,,,128.0,3.0,"max(256, h_dim*2)","Complete graph over category nodes, no edge features",0.8765637200495944,0.04251072443171826,0.061952076594204125
snn,forman,O2uptakemolkg,TopologicalEmbeddings_forman_fil120,log10,minmax,minmax,True,AdamW,"OneCycleLR(max_lr=lr, epochs=epochs, steps_per_epoch=len(train_loader))",MSELoss on scaled/log target,0.0006,100,32,0.0001,0.1,,,,,,,,,,,,,,,128.0,3.0,"max(256, h_dim*2)","Complete graph over category nodes, no edge features",0.875804405663433,0.04143299488881921,0.06214233257777588
