rank,combo_mask,n_components,n_models,n_topology_methods,models_used,topologies_used,R2,MAE,RMSE,components
1,18214,7,4,3,ann+cnn+copresheaf+snn,homology+facet+forman,0.925254890438001,0.0316522799156574,0.0482087473825216,ann:facet|ann:forman|cnn:facet|copresheaf:homology|copresheaf:facet|copresheaf:forman|snn:forman
2,17698,5,4,3,ann+cnn+copresheaf+snn,homology+facet+forman,0.925210516547907,0.0321589326248734,0.048223055290215,ann:facet|cnn:facet|copresheaf:homology|copresheaf:forman|snn:forman
3,18210,6,4,3,ann+cnn+copresheaf+snn,homology+facet+forman,0.92509922894152,0.0317358145089549,0.0482589201821167,ann:facet|cnn:facet|copresheaf:homology|copresheaf:facet|copresheaf:forman|snn:forman
4,18215,8,4,3,ann+cnn+copresheaf+snn,homology+facet+forman,0.924771741090875,0.0319776141379089,0.0483643060969723,ann:homology|ann:facet|ann:forman|cnn:facet|copresheaf:homology|copresheaf:facet|copresheaf:forman|snn:forman
5,25894,7,4,3,ann+cnn+copresheaf+snn,homology+facet+forman,0.924766705660856,0.0320119785684698,0.0483659247108225,ann:facet|ann:forman|cnn:facet|copresheaf:homology|copresheaf:forman|snn:facet|snn:forman
6,26406,8,4,3,ann+cnn+copresheaf+snn,homology+facet+forman,0.924669081349128,0.0317970134266086,0.0483972948601977,ann:facet|ann:forman|cnn:facet|copresheaf:homology|copresheaf:facet|copresheaf:forman|snn:facet|snn:forman
7,18178,5,3,3,ann+copresheaf+snn,homology+facet+forman,0.92465559395015,0.0317185355207313,0.0484016272407257,ann:facet|copresheaf:homology|copresheaf:facet|copresheaf:forman|snn:forman
8,20262,8,4,4,ann+cnn+copresheaf+snn,homology+facet+forman+lap,0.924638050344869,0.031816607974992,0.0484072619630893,ann:facet|ann:forman|cnn:facet|copresheaf:homology|copresheaf:facet|copresheaf:forman|copresheaf:lap|snn:forman
9,25890,6,4,3,ann+cnn+copresheaf+snn,homology+facet+forman,0.924597822507896,0.0321803357885945,0.0484201800182446,ann:facet|cnn:facet|copresheaf:homology|copresheaf:forman|snn:facet|snn:forman
10,22310,8,4,3,ann+cnn+copresheaf+snn,homology+facet+forman,0.924552373912895,0.0320493806098205,0.0484347704300724,ann:facet|ann:forman|cnn:facet|copresheaf:homology|copresheaf:facet|copresheaf:forman|snn:homology|snn:forman
11,26407,9,4,3,ann+cnn+copresheaf+snn,homology+facet+forman,0.924513789824435,0.0320183574569848,0.0484471536732318,ann:homology|ann:facet|ann:forman|cnn:facet|copresheaf:homology|copresheaf:facet|copresheaf:forman|snn:facet|snn:forman
12,25895,8,4,3,ann+cnn+copresheaf+snn,homology+facet+forman,0.924510282169261,0.0322876134929389,0.0484482792691172,ann:homology|ann:facet|ann:forman|cnn:facet|copresheaf:homology|copresheaf:forman|snn:facet|snn:forman
13,18182,6,3,3,ann+copresheaf+snn,homology+facet+forman,0.924454643888989,0.031692162494521,0.0484661299282506,ann:facet|ann:forman|copresheaf:homology|copresheaf:facet|copresheaf:forman|snn:forman
14,27942,8,4,4,ann+cnn+copresheaf+snn,homology+facet+forman+lap,0.924431109084278,0.0321091862641958,0.0484736787184011,ann:facet|ann:forman|cnn:facet|copresheaf:homology|copresheaf:forman|copresheaf:lap|snn:facet|snn:forman
15,1830,6,3,3,ann+cnn+copresheaf,homology+facet+forman,0.924426429485742,0.0317375563533035,0.0484751795598291,ann:facet|ann:forman|cnn:facet|copresheaf:homology|copresheaf:facet|copresheaf:forman
16,28454,9,4,4,ann+cnn+copresheaf+snn,homology+facet+forman+lap,0.924422730956265,0.031907481811256,0.0484763657197908,ann:facet|ann:forman|cnn:facet|copresheaf:homology|copresheaf:facet|copresheaf:forman|copresheaf:lap|snn:facet|snn:forman
17,18211,7,4,3,ann+cnn+copresheaf+snn,homology+facet+forman,0.92438113546226,0.0321086513870565,0.048489703863918,ann:homology|ann:facet|cnn:facet|copresheaf:homology|copresheaf:facet|copresheaf:forman|snn:forman
18,26374,7,3,3,ann+copresheaf+snn,homology+facet+forman,0.924310388381388,0.0318850177384221,0.0485123814260818,ann:facet|ann:forman|copresheaf:homology|copresheaf:facet|copresheaf:forman|snn:facet|snn:forman
19,1798,5,2,3,ann+copresheaf,homology+facet+forman,0.924244907390894,0.0315813006799201,0.0485333615313336,ann:facet|ann:forman|copresheaf:homology|copresheaf:facet|copresheaf:forman
20,20258,7,4,4,ann+cnn+copresheaf+snn,homology+facet+forman+lap,0.924231580367302,0.0320220264117499,0.048537630398201,ann:facet|cnn:facet|copresheaf:homology|copresheaf:facet|copresheaf:forman|copresheaf:lap|snn:forman
21,26375,8,3,3,ann+copresheaf+snn,homology+facet+forman,0.924216461641785,0.0320320507656684,0.0485424727224287,ann:homology|ann:facet|ann:forman|copresheaf:homology|copresheaf:facet|copresheaf:forman|snn:facet|snn:forman
22,29990,8,4,3,ann+cnn+copresheaf+snn,homology+facet+forman,0.92419830143326,0.0323741955123576,0.0485482885542099,ann:facet|ann:forman|cnn:facet|copresheaf:homology|copresheaf:forman|snn:homology|snn:facet|snn:forman
23,17702,6,4,3,ann+cnn+copresheaf+snn,homology+facet+forman,0.92416639998221,0.0321635816251583,0.0485585033512652,ann:facet|ann:forman|cnn:facet|copresheaf:homology|copresheaf:forman|snn:forman
24,25891,7,4,3,ann+cnn+copresheaf+snn,homology+facet+forman,0.924159442635452,0.0324460228501896,0.0485607307979208,ann:homology|ann:facet|cnn:facet|copresheaf:homology|copresheaf:forman|snn:facet|snn:forman
25,17699,6,4,3,ann+cnn+copresheaf+snn,homology+facet+forman,0.924157222818595,0.0326222280432861,0.0485614414674081,ann:homology|ann:facet|cnn:facet|copresheaf:homology|copresheaf:forman|snn:forman
26,30502,9,4,3,ann+cnn+copresheaf+snn,homology+facet+forman,0.924145143506078,0.032116941448512,0.0485653084504963,ann:facet|ann:forman|cnn:facet|copresheaf:homology|copresheaf:facet|copresheaf:forman|snn:homology|snn:facet|snn:forman
27,17190,6,4,3,ann+cnn+copresheaf+snn,homology+facet+forman,0.924122270699218,0.0322703285224816,0.048572629940816,ann:facet|ann:forman|cnn:facet|copresheaf:homology|copresheaf:facet|snn:forman
28,25858,5,3,3,ann+copresheaf+snn,homology+facet+forman,0.924106520435705,0.0322836996018603,0.0485776708930959,ann:facet|copresheaf:homology|copresheaf:forman|snn:facet|snn:forman
29,28455,10,4,4,ann+cnn+copresheaf+snn,homology+facet+forman+lap,0.924101870017739,0.0321277662226753,0.0485791591830925,ann:homology|ann:facet|ann:forman|cnn:facet|copresheaf:homology|copresheaf:facet|copresheaf:forman|copresheaf:lap|snn:facet|snn:forman
30,50982,8,4,4,ann+cnn+copresheaf+snn,homology+facet+forman+lap,0.924099483595522,0.032082969447936,0.0485799229006805,ann:facet|ann:forman|cnn:facet|copresheaf:homology|copresheaf:facet|copresheaf:forman|snn:forman|snn:lap
31,18183,7,3,3,ann+copresheaf+snn,homology+facet+forman,0.924084035169565,0.0319868337698908,0.0485848665110397,ann:homology|ann:facet|ann:forman|copresheaf:homology|copresheaf:facet|copresheaf:forman|snn:forman
32,27938,7,4,4,ann+cnn+copresheaf+snn,homology+facet+forman+lap,0.92408109428142,0.0323169752048396,0.048585807559965,ann:facet|cnn:facet|copresheaf:homology|copresheaf:forman|copresheaf:lap|snn:facet|snn:forman
33,20263,9,4,4,ann+cnn+copresheaf+snn,homology+facet+forman+lap,0.924072679571691,0.0321177618598143,0.0485885000654462,ann:homology|ann:facet|ann:forman|cnn:facet|copresheaf:homology|copresheaf:facet|copresheaf:forman|copresheaf:lap|snn:forman
34,19746,6,4,4,ann+cnn+copresheaf+snn,homology+facet+forman+lap,0.924017792019423,0.0324563462983024,0.0486060591075839,ann:facet|cnn:facet|copresheaf:homology|copresheaf:forman|copresheaf:lap|snn:forman
35,9510,6,4,3,ann+cnn+copresheaf+snn,homology+facet+forman,0.923998723401728,0.0321044187415013,0.0486121578525383,ann:facet|ann:forman|cnn:facet|copresheaf:homology|copresheaf:forman|snn:facet
36,27943,9,4,4,ann+cnn+copresheaf+snn,homology+facet+forman+lap,0.923997907255875,0.0323649505477904,0.0486124188646311,ann:homology|ann:facet|ann:forman|cnn:facet|copresheaf:homology|copresheaf:forman|copresheaf:lap|snn:facet|snn:forman
37,18342,8,4,4,ann+cnn+copresheaf+snn,homology+facet+forman+lap,0.923944854928919,0.0319997339374421,0.0486293825556528,ann:facet|ann:forman|cnn:facet|cnn:lap|copresheaf:homology|copresheaf:facet|copresheaf:forman|snn:forman
38,22306,7,4,3,ann+cnn+copresheaf+snn,homology+facet+forman,0.923914701684582,0.0322216062089211,0.0486390215376301,ann:facet|cnn:facet|copresheaf:homology|copresheaf:facet|copresheaf:forman|snn:homology|snn:forman
39,25862,6,3,3,ann+copresheaf+snn,homology+facet+forman,0.923910275546466,0.0321101613652022,0.0486404362649234,ann:facet|ann:forman|copresheaf:homology|copresheaf:forman|snn:facet|snn:forman
40,22054,7,4,3,ann+cnn+copresheaf+snn,homology+facet+forman,0.923899488106801,0.032079499266639,0.0486438840837937,ann:facet|ann:forman|cnn:facet|copresheaf:facet|copresheaf:forman|snn:homology|snn:forman
41,28422,8,3,4,ann+copresheaf+snn,homology+facet+forman+lap,0.923891822684978,0.0320392341059969,0.0486463339129215,ann:facet|ann:forman|copresheaf:homology|copresheaf:facet|copresheaf:forman|copresheaf:lap|snn:facet|snn:forman
42,18179,6,3,3,ann+copresheaf+snn,homology+facet+forman,0.923870610818361,0.0320660119851478,0.0486531124726954,ann:homology|ann:facet|copresheaf:homology|copresheaf:facet|copresheaf:forman|snn:forman
43,26405,8,4,3,ann+cnn+copresheaf+snn,homology+facet+forman,0.923869852694936,0.0319867706997054,0.0486533547245565,ann:homology|ann:forman|cnn:facet|copresheaf:homology|copresheaf:facet|copresheaf:forman|snn:facet|snn:forman
44,16678,5,4,3,ann+cnn+copresheaf+snn,homology+facet+forman,0.923835290885245,0.032657701099511,0.0486643973748141,ann:facet|ann:forman|cnn:facet|copresheaf:homology|snn:forman
45,25863,7,3,3,ann+copresheaf+snn,homology+facet+forman,0.923830778491321,0.0323471694084928,0.0486658389196005,ann:homology|ann:facet|ann:forman|copresheaf:homology|copresheaf:forman|snn:facet|snn:forman
46,26404,7,4,3,ann+cnn+copresheaf+snn,homology+facet+forman,0.923820481387374,0.0317648871489161,0.0486691283077356,ann:forman|cnn:facet|copresheaf:homology|copresheaf:facet|copresheaf:forman|snn:facet|snn:forman
47,1318,5,3,3,ann+cnn+copresheaf,homology+facet+forman,0.92381646407631,0.032206792818177,0.0486704115689953,ann:facet|ann:forman|cnn:facet|copresheaf:homology|copresheaf:forman
48,26534,9,4,4,ann+cnn+copresheaf+snn,homology+facet+forman+lap,0.923803639178445,0.0320571955003436,0.0486745080367071,ann:facet|ann:forman|cnn:facet|cnn:lap|copresheaf:homology|copresheaf:facet|copresheaf:forman|snn:facet|snn:forman
49,9478,5,3,3,ann+copresheaf+snn,homology+facet+forman,0.923801962379885,0.0321157116408924,0.0486750436062215,ann:facet|ann:forman|copresheaf:homology|copresheaf:forman|snn:facet
